NAME,TIME,DISTANCE
MMR,2018,8705822.05336082
VEN,2018,7794058.24514218
UKR,2018,1843195.41480565
UZB,2018,4966240.27317477
THA,2018,9262590.91987867
PER,2018,10441056.649642
SEN,2018,4459743.33441958
ZAF,2018,8842227.21118599
KOR,2018,8730563.59669894
PHL,2018,10522476.5695618
COD,2018,6202005.91445946
IND,2018,6426974.12217447
IRQ,2018,3776373.25455577
ETH,2018,5603418.43301099
IRN,2018,4092810.19370584
ARG,2018,11281912.1087782
AFG,2018,5422951.00160944
TWN,2018,9603595.15469765
USA,2018,6230189.82264779
GBR,2018,319908.04775968
SAU,2018,4634932.39807306
RUS,2018,2261862.40448956
MEX,2018,9258834.26751577
CHN,2018,7984825.96814558
KEN,2018,6543934.78251629
IDN,2018,11415821.6770929
COL,2018,8800233.2752244
EGY,2018,3211971.80610104
JPN,2018,9476221.68774838
CHL,2018,11865957.9505718
SGP,2018,10565956.610142
VAT,2017,1171580.13762103
SMR,2017,980288.952698828
LIE,2017,559637.576129932
FSM,2017,13131612.2300428
MHL,2017,13465640.6997942
TUV,2017,15288546.0938844
PLW,2017,11986487.7359203
MCO,2017,822262.653255492
KIR,2017,14123959.6002227
COM,2017,7885949.31247121
AND,2017,949760.544652496
TTO,2017,7406590.09532282
RWA,2017,6339643.57162757
SWZ,2017,8943261.69373481
SSD,2017,5696146.38605587
QAT,2017,4899080.52570481
MNE,2017,1469203.71655355
CHE,2017,492639.082484463
XKX,2017,1568602.59476564
DMA,2017,7001722.49663321
DJI,2017,5595716.89289519
GMB,2017,4556590.35379038
MKD,2017,1634520.44565129
BRB,2017,7065707.49110141
BDI,2017,6463780.48718905
VCT,2017,7171890.31200742
LCA,2017,7083711.34016577
KNA,2017,6926894.79130755
MUS,2017,9424743.92682941
GRD,2017,7302057.53671528
BHR,2017,4757138.81084646
ATG,2017,6881597.59397154
URY,2017,11191906.8098848
TGO,2017,4963914.62926451
TUN,2017,1627264.1837345
ARE,2017,5158218.87107916
TKM,2017,4427307.01619166
ZMB,2017,7701673.19102321
ZWE,2017,8040798.32799701
TLS,2017,12907658.5786806
VUT,2017,16068688.2330773
HND,2017,8913351.88547528
GUY,2017,7513055.23487352
ISL,2017,2134020.25935711
HTI,2017,7500842.21914513
UGA,2017,6201034.88993771
SUR,2017,7398864.27716641
NER,2017,4143527.56276958
TJK,2017,5112867.04172797
PRY,2017,10386742.5377131
NIC,2017,9012855.84149194
SLE,2017,4967961.86979296
PAK,2017,5755330.58123904
NPL,2017,7059572.74069664
ZAF,2017,9114845.2387923
ZAF,2017,8797889.8750031
PNG,2017,14304696.6563222
SLB,2017,14902450.4130928
PAN,2017,8810654.83964328
MAR,2017,2075746.45888378
MDA,2017,1838029.15159367
MOZ,2017,8948038.95437669
SOM,2017,6631362.44572051
OMN,2017,5504893.97984964
LKA,2017,8397920.78878694
MNG,2017,6814871.80067105
NAM,2017,8226771.64152894
NGA,2017,4641579.21651696
GNB,2017,4686336.63414894
JOR,2017,3330485.75517887
KGZ,2017,5224007.34849487
LSO,2017,9165863.47394746
MDG,2017,8803579.29249413
ECU,2017,9522853.954921
CRI,2017,9048605.72623559
SLV,2017,9085482.97256219
JAM,2017,7859037.45880905
TCD,2017,4403194.32082641
GNQ,2017,5235732.32180448
ERI,2017,5006793.25414638
MWI,2017,7731102.32421225
GTM,2017,9097448.37215555
GAB,2017,5612135.11468035
FJI,2017,16338868.742302
MRT,2017,4054181.72141903
MLI,2017,4379998.1769232
LBN,2017,3146962.71004505
GEO,2017,3231990.6387812
KAZ,2017,4539600.4606253
LAO,2017,9042973.55042227
COG,2017,6193798.82874145
GIN,2017,4868779.99343206
CIV,2017,4960438.73317832
CAN,2017,5690557.45715581
SRB,2017,1376614.87893859
BRN,2017,11009540.4917779
BOL,2017,10277319.3424962
BLZ,2017,8753220.48246454
CAF,2017,5319679.76090142
CMR,2017,5249245.18823124
ALB,2017,1591669.05099106
ARM,2017,3306842.51614599
AZE,2017,3669739.31320715
KHM,2017,9752045.27698672
BOL,2017,10235782.4280281
BEN,2017,4933397.61281998
BLR,2017,1611055.69159271
BTN,2017,7375321.55570505
BWA,2017,8625944.75008527
AUS,2017,16714129.139192
BFA,2017,4298603.87899921
BIH,2017,1311963.81681785
MMR,2017,8451208.92041675
TON,2017,16708354.6168775
SOM,2017,5840433.06908975
SYC,2017,7834533.66098228
STP,2017,5601041.90677498
